system:index,2026-06-08,2026-06-22,2026-07-06,2026-07-20,2026-08-03,2026-08-17,2026-08-31,zone,.geo
0,0.19044872430762003,0.18854086457120128,0.18869201570045777,0.25894691686567733,0.2793576597841392,0.31956020414838404,0.31166259282364595,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.34951867141268234,0.35199993761909487,0.3514342906759471,0.40155355779195334,0.40985075893900264,0.45337652228066716,0.4288298922993039,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5199732042494274,0.5217354454218395,0.5117496587454327,0.5425155555918103,0.5638001740451843,0.6042678681157884,0.4643910172439757,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.13975770993902867,0.13976490551631127,0.14147908016607413,0.225586924802222,0.23704374118458196,0.2576353222479699,0.23890282464355853,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.222073424163316,0.22906214646889841,0.22810208066895504,0.2946001247464558,0.315512439662171,0.3449543296359429,0.31583717007596235,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.43070306672298597,0.4381170052177904,0.44292448125546174,0.46857772584781116,0.4704191250094582,0.49376582722500595,0.38188523783172573,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
